"Delimiter = ,",,,,,,,,,,,
AethLabs,,,,,,,,,,,
Device ID = AE51-S5-803-1309,,,,,,,,,Cortona Café,,
Application version = 2.2.3.0,,,,,,,,,Pair 1 sampling - outside,,"some users, not a lot of car traffic"
Flow = 148 ml/min,,,,,,,,,11:50am start,,both montana and cortona on a two lane road
Timebase = 30 s,,,,,,,,,12:28pm stop,,
Start date = 2015/05/16,,,,,,,,,,,
Start time = 11:50:00,,,,,,,,,,,
Original date format = yyyy/MM/dd,,,,,,,,,,,
Original time format = hh:mm:ss,,,,,,,,,,,
Flow units = ml/min,,,,,,,,,,,
PCB temp units = deg C,,,,,,,,,,,
Battery units = %,,,,,,,,,,,
BC units = ng/m^3,,,,,,,,,,,
,,,,,,,,,,,
Date,Time,Ref,Sen,ATN,Flow,PCB temp,Status,Battery,BC,,
,,,,,,,,,,,
5/16/15,11:50:00,790552,856254,-7.984,150,20,0,98,,,
5/16/15,11:50:30,801607,868183,-7.978,148,20,0,98,396,,
5/16/15,11:51:00,801511,868058,-7.976,149,20,0,98,185,,
5/16/15,11:51:30,801454,867975,-7.974,149,20,0,98,187,,
5/16/15,11:52:00,801374,867885,-7.973,149,20,0,98,30,,
5/16/15,11:52:30,801373,867874,-7.972,149,21,0,98,87,,
5/16/15,11:53:00,801348,867829,-7.97,149,21,0,98,157,,
5/16/15,11:53:30,801406,867881,-7.969,149,21,0,98,95,,
5/16/15,11:54:00,801343,867789,-7.966,149,21,0,98,209,,
5/16/15,11:54:30,801313,867734,-7.963,149,21,0,97,198,,
5/16/15,11:55:00,801342,867719,-7.958,149,21,0,97,408,,
5/16/15,11:55:30,801337,867609,-7.946,149,21,0,97,919,,
5/16/15,11:56:00,801278,867501,-7.941,149,21,0,97,388,,
5/16/15,11:56:30,801306,867208,-7.904,149,21,0,97,2842,,
5/16/15,11:57:00,801316,867019,-7.881,149,21,0,97,1757,,
5/16/15,11:57:30,801306,866830,-7.86,149,21,0,97,1567,,
5/16/15,11:58:00,801286,866731,-7.851,149,21,0,99,681,,
5/16/15,11:58:30,801245,866669,-7.849,149,21,0,99,155,,
5/16/15,11:59:00,801270,866655,-7.844,149,21,0,99,361,,
5/16/15,11:59:30,801237,866593,-7.841,149,21,0,99,231,,
5/16/15,12:00:00,801162,866501,-7.84,149,21,0,99,96,,
5/16/15,12:00:30,801194,866508,-7.837,149,21,0,99,243,,
5/16/15,12:01:00,801193,866486,-7.834,149,21,0,99,184,,
5/16/15,12:01:30,801199,866433,-7.828,149,21,0,99,523,,
5/16/15,12:02:00,801190,866396,-7.824,149,21,0,98,240,,
5/16/15,12:02:30,801214,866385,-7.82,149,21,0,98,325,,
5/16/15,12:03:00,801183,866301,-7.814,149,21,0,98,444,,
5/16/15,12:03:30,801176,866277,-7.812,149,21,0,98,145,,
5/16/15,12:04:00,801202,866281,-7.81,149,21,0,98,212,,
5/16/15,12:04:30,801264,866321,-7.807,149,21,0,98,238,,
5/16/15,12:05:00,801198,866216,-7.803,149,21,0,98,296,,
5/16/15,12:05:30,801202,866174,-7.797,149,21,0,98,408,,
5/16/15,12:06:00,801202,866110,-7.79,149,21,0,98,563,,
5/16/15,12:06:30,801234,866090,-7.784,149,21,0,98,481,,
5/16/15,12:07:00,801221,865970,-7.771,149,21,0,98,933,,
5/16/15,12:07:30,801193,865857,-7.762,149,21,0,97,728,,
5/16/15,12:08:00,801240,865874,-7.758,149,21,0,97,298,,
5/16/15,12:08:30,801227,865820,-7.753,149,21,0,97,352,,
5/16/15,12:09:00,801167,865695,-7.746,149,21,0,97,530,,
5/16/15,12:09:30,801135,865617,-7.741,149,21,0,97,382,,
5/16/15,12:10:00,801205,865651,-7.736,149,21,0,97,367,,
5/16/15,12:10:30,801206,865638,-7.735,149,21,0,97,124,,
5/16/15,12:11:00,801170,865572,-7.732,149,21,0,99,239,,
5/16/15,12:11:30,801184,865546,-7.727,149,21,0,99,362,,
5/16/15,12:12:00,801157,865500,-7.725,149,21,0,99,148,,
5/16/15,12:12:30,801124,865431,-7.721,149,21,0,99,294,,
5/16/15,12:13:00,801119,865407,-7.719,149,21,0,99,164,,
5/16/15,12:13:30,801159,865434,-7.717,149,21,0,99,143,,
5/16/15,12:14:00,801150,865411,-7.716,149,21,0,99,117,,
5/16/15,12:14:30,801114,865332,-7.711,149,21,0,99,353,,
5/16/15,12:15:00,801119,865312,-7.708,149,21,0,99,224,,
5/16/15,12:15:30,801076,865221,-7.703,149,21,0,98,393,,
5/16/15,12:16:00,801117,865231,-7.699,149,21,0,98,302,,
5/16/15,12:16:30,801065,865168,-7.698,149,21,0,98,60,,
5/16/15,12:17:00,801089,865169,-7.695,149,21,0,98,220,,
5/16/15,12:17:30,801111,865164,-7.692,149,21,0,98,253,,
5/16/15,12:18:00,801071,865095,-7.689,149,21,0,98,227,,
5/16/15,12:18:30,801086,864782,-7.651,149,21,0,98,2902,,
5/16/15,12:19:00,801075,864652,-7.637,149,21,0,98,1042,,
5/16/15,12:19:30,801077,864615,-7.633,149,21,0,98,345,,
5/16/15,12:20:00,801058,864560,-7.629,149,21,0,98,304,,
5/16/15,12:20:30,801077,864540,-7.624,149,21,0,97,357,,
