"Delimiter = ,",,,,,,,,,,,,
AethLabs,,,,,,,,,Cortona Sampling,,,more traffic then Saturday
Device ID = AE51-S5-803-1309,,,,,,,,,Pair 3 - Outside,,,smell of manure in the air
Application version = 2.2.4.0,,,,,,,,,2:44pm start,,,
Flow = 149 ml/min,,,,,,,,,3:15pm stop,,,
Timebase = 30 s,,,,,,,,,,,,
Start date = 2015/05/19,,,,,,,,,,,,
Start time = 14:45:30,,,,,,,,,,,,
Original date format = yyyy/MM/dd,,,,,,,,,,,,
Original time format = hh:mm:ss,,,,,,,,,,,,
Flow units = ml/min,,,,,,,,,,,,
PCB temp units = deg C,,,,,,,,,,,,
Battery units = %,,,,,,,,,,,,
BC units = ng/m^3,,,,,,,,,,,,
,,,,,,,,,,,,
Date,Time,Ref,Sen,ATN,Flow,PCB temp,Status,Battery,BC,,,
,,,,,,,,,,,,
5/19/15,14:45:30,811487,900275,-10.383,149,23,0,87,,,,
5/19/15,14:46:00,811429,900165,-10.378,149,23,0,87,387,,,
5/19/15,14:46:30,811359,900050,-10.374,149,24,0,87,316,,,
5/19/15,14:47:00,811252,899914,-10.372,149,24,0,87,147,,,
5/19/15,14:47:30,811209,899830,-10.368,149,24,0,87,308,,,
5/19/15,14:48:00,811182,899763,-10.364,149,24,0,87,314,,,
5/19/15,14:48:30,811135,899670,-10.359,148,24,0,87,349,,,
5/19/15,14:49:00,811049,899546,-10.356,149,25,0,89,243,,,
5/19/15,14:49:30,811050,899510,-10.352,149,25,0,89,315,,,
5/19/15,14:50:00,811005,899421,-10.348,149,25,0,89,331,,,
5/19/15,14:50:30,810941,899309,-10.343,149,25,0,89,348,,,
5/19/15,14:51:00,810899,899227,-10.339,149,25,0,89,300,,,
5/19/15,14:51:30,810851,899134,-10.335,149,25,0,89,337,,,
5/19/15,14:52:00,810856,899115,-10.332,149,25,0,88,208,,,
5/19/15,14:52:30,810769,898978,-10.328,149,25,0,88,344,,,
5/19/15,14:53:00,810734,898805,-10.313,149,25,0,88,1138,,,
5/19/15,14:53:30,810607,898619,-10.308,149,25,0,88,384,,,
5/19/15,14:54:00,810580,898614,-10.31,149,26,0,88,-212,,,
5/19/15,14:54:30,810494,898551,-10.314,149,26,0,88,-274,,,
5/19/15,14:55:00,810460,898484,-10.311,149,26,0,88,249,,,
5/19/15,14:55:30,810461,898524,-10.315,149,26,0,88,-330,,,
5/19/15,14:56:00,810364,898406,-10.314,149,27,0,88,89,,,
5/19/15,14:56:30,810152,898173,-10.314,149,27,0,88,-17,,,
5/19/15,14:57:00,810100,898045,-10.306,149,27,0,87,597,,,
5/19/15,14:57:30,810020,897933,-10.304,149,28,0,87,198,,,
5/19/15,14:58:00,809967,897883,-10.305,149,28,0,87,-74,,,
5/19/15,14:58:30,809925,897792,-10.3,149,28,0,87,377,,,
5/19/15,14:59:00,809835,897611,-10.291,149,28,0,87,690,,,
5/19/15,14:59:30,809773,897536,-10.29,149,28,0,87,53,,,
5/19/15,15:00:00,809702,897418,-10.286,149,29,0,87,334,,,
5/19/15,15:00:30,809703,897356,-10.279,149,29,0,87,536,,,
5/19/15,15:01:00,809593,897180,-10.272,149,29,0,87,460,,,
5/19/15,15:01:30,809556,897013,-10.258,149,29,0,87,1071,,,
5/19/15,15:02:00,809584,896624,-10.212,149,29,0,89,3571,,,
5/19/15,15:02:30,809497,896316,-10.188,149,28,0,89,1800,,,
5/19/15,15:03:00,809588,896316,-10.177,149,28,0,89,857,,,
5/19/15,15:03:30,809599,896201,-10.163,149,28,0,89,1082,,,
5/19/15,15:04:00,809590,895996,-10.141,148,28,0,89,1671,,,
5/19/15,15:04:30,809601,895826,-10.12,149,28,0,89,1550,,,
5/19/15,15:05:00,809574,895635,-10.102,148,28,0,88,1381,,,
5/19/15,15:05:30,809622,895512,-10.083,149,28,0,88,1499,,,
5/19/15,15:06:00,809632,895235,-10.051,149,27,0,88,2453,,,
5/19/15,15:06:30,809628,894985,-10.023,148,27,0,88,2106,,,
5/19/15,15:07:00,809698,894868,-10.001,149,27,0,88,1656,,,
5/19/15,15:07:30,809709,894794,-9.992,149,27,0,88,734,,,
5/19/15,15:08:00,809663,894672,-9.984,149,27,0,88,606,,,
5/19/15,15:08:30,809676,894625,-9.977,149,27,0,88,523,,,
5/19/15,15:09:00,809773,894667,-9.97,149,27,0,88,555,,,
5/19/15,15:09:30,809801,894651,-9.965,149,27,0,88,400,,,
5/19/15,15:10:00,809814,894553,-9.952,149,27,0,87,958,,,
5/19/15,15:10:30,809851,894439,-9.935,149,27,0,87,1320,,,
5/19/15,15:11:00,809805,894267,-9.921,149,27,0,87,1033,,,
5/19/15,15:11:30,809852,894124,-9.899,149,26,0,87,1662,,,
5/19/15,15:12:00,809858,894026,-9.888,149,26,0,87,892,,,
5/19/15,15:12:30,809909,894035,-9.882,149,26,0,87,403,,,
5/19/15,15:13:00,809918,893985,-9.876,149,26,0,87,511,,,
5/19/15,15:13:30,809923,893917,-9.867,149,26,0,87,627,,,
5/19/15,15:14:00,809919,893811,-9.856,149,26,0,87,866,,,
5/19/15,15:14:30,809933,893760,-9.849,149,26,0,87,567,,,
5/19/15,15:15:00,809956,893657,-9.834,149,26,0,84,1095,,,
