"Delimiter = ,",,,,,,,,,
AethLabs,,,,,,,,,Cortona Sampling
Device ID = AE51-S5-803-1309,,,,,,,,,Pair 4 - inside
Application version = 2.2.4.0,,,,,,,,,3:50 pm start
Flow = 149 ml/min,,,,,,,,,4:20 pm stop
Timebase = 30 s,,,,,,,,,
Start date = 2015/05/19,,,,,,,,,
Start time = 15:51:00,,,,,,,,,
Original date format = yyyy/MM/dd,,,,,,,,,
Original time format = hh:mm:ss,,,,,,,,,
Flow units = ml/min,,,,,,,,,
PCB temp units = deg C,,,,,,,,,
Battery units = %,,,,,,,,,
BC units = ng/m^3,,,,,,,,,
,,,,,,,,,
Date,Time,Ref,Sen,ATN,Flow,PCB temp,Status,Battery,BC
,,,,,,,,,
5/19/15,15:51:00,809817,889471,-9.382,149,26,0,82,
5/19/15,15:51:30,809836,889442,-9.376,149,26,0,82,427
5/19/15,15:52:00,809837,889391,-9.37,149,26,0,82,447
5/19/15,15:52:30,809808,889305,-9.364,149,26,0,82,464
5/19/15,15:53:00,809816,889258,-9.358,149,26,0,82,478
5/19/15,15:53:30,809884,889288,-9.353,149,26,0,82,383
5/19/15,15:54:00,809851,889196,-9.347,149,26,0,82,478
5/19/15,15:54:30,809865,889159,-9.341,149,26,0,82,449
5/19/15,15:55:00,809846,889087,-9.335,149,26,0,82,439
5/19/15,15:55:30,809842,889027,-9.329,149,26,0,82,477
5/19/15,15:56:00,809817,888949,-9.323,149,26,0,81,434
5/19/15,15:56:30,809827,888904,-9.317,149,26,0,84,480
5/19/15,15:57:00,809850,888863,-9.309,149,26,0,84,568
5/19/15,15:57:30,809859,888812,-9.303,149,26,0,84,522
5/19/15,15:58:00,809746,888627,-9.296,149,26,0,84,523
5/19/15,15:58:30,809784,888608,-9.289,149,27,0,84,521
5/19/15,15:59:00,809815,888585,-9.282,149,27,0,83,489
5/19/15,15:59:30,809771,888487,-9.277,149,27,0,83,427
5/19/15,16:00:00,809776,888440,-9.271,149,27,0,83,450
5/19/15,16:00:30,809748,888349,-9.264,149,27,0,83,517
5/19/15,16:01:00,809768,888308,-9.257,149,27,0,83,540
5/19/15,16:01:30,809777,888265,-9.251,149,27,0,83,454
5/19/15,16:02:00,809731,888157,-9.245,149,27,0,83,494
5/19/15,16:02:30,809794,888169,-9.238,149,27,0,83,490
5/19/15,16:03:00,809770,888076,-9.231,149,27,0,83,572
5/19/15,16:03:30,809797,888035,-9.223,149,27,0,83,606
5/19/15,16:04:00,809800,887977,-9.216,149,27,0,82,526
5/19/15,16:04:30,809787,887904,-9.209,149,27,0,82,504
5/19/15,16:05:00,809770,887818,-9.202,149,27,0,82,578
5/19/15,16:05:30,809752,887679,-9.188,149,27,0,82,1024
5/19/15,16:06:00,809796,887579,-9.172,149,27,0,82,1273
5/19/15,16:06:30,809790,887443,-9.157,149,27,0,82,1112
5/19/15,16:07:00,809785,887331,-9.145,149,27,0,82,915
5/19/15,16:07:30,809801,887282,-9.137,149,27,0,82,572
5/19/15,16:08:00,809776,887208,-9.132,149,27,0,82,401
5/19/15,16:08:30,809728,887095,-9.125,149,27,0,82,519
5/19/15,16:09:00,809764,887081,-9.119,149,27,0,82,459
5/19/15,16:09:30,809744,887006,-9.113,149,27,0,79,456
5/19/15,16:10:00,809761,886977,-9.108,149,27,0,79,409
5/19/15,16:10:30,809777,886949,-9.103,149,27,0,79,391
5/19/15,16:11:00,809783,886903,-9.097,149,27,0,79,452
5/19/15,16:11:30,809695,886758,-9.091,149,27,0,78,418
5/19/15,16:12:00,809726,886742,-9.086,149,27,0,78,429
5/19/15,16:12:30,809739,886706,-9.08,149,27,0,78,432
5/19/15,16:13:00,809762,886684,-9.075,149,27,0,78,406
5/19/15,16:13:30,809765,886632,-9.069,149,27,0,78,475
5/19/15,16:14:00,809783,886594,-9.062,149,27,0,78,496
5/19/15,16:14:30,809764,886518,-9.056,149,27,0,78,475
5/19/15,16:15:00,809744,886446,-9.05,149,27,0,78,431
5/19/15,16:15:30,809764,886414,-9.044,149,27,0,78,464
5/19/15,16:16:00,809806,886397,-9.037,149,26,0,78,542
5/19/15,16:16:30,809814,886339,-9.029,149,27,0,77,574
5/19/15,16:17:00,809784,886244,-9.022,149,27,0,77,535
5/19/15,16:17:30,809765,886157,-9.015,149,27,0,77,570
5/19/15,16:18:00,809748,886072,-9.008,149,26,0,77,571
5/19/15,16:18:30,809772,886040,-9.001,149,27,0,77,501
5/19/15,16:19:00,809804,886012,-8.994,149,26,0,77,542
5/19/15,16:19:30,809767,885912,-8.987,149,27,0,77,512
5/19/15,16:20:00,809763,885837,-8.979,149,26,0,77,608
5/19/15,16:20:30,809795,885792,-8.97,149,26,0,77,689
5/19/15,16:21:00,809732,885660,-8.963,149,27,0,77,543
5/19/15,16:21:30,809726,885587,-8.955,149,27,0,77,572
