"Delimiter = ,",,,,,,,,,
AethLabs,,,,,,,Cortona Sampling,,
Device ID = AE51-S5-803-1309,,,,,,,Pair 4 - outside,,
Application version = 2.2.4.0,,,,,,,4:27 pm start,,
Flow = 149 ml/min,,,,,,,4:57 pm stop,,
Timebase = 30 s,,,,,,,,,
Start date = 2015/05/19,,,,,,,,,
Start time = 16:28:00,,,,,,,,,
Original date format = yyyy/MM/dd,,,,,,,,,
Original time format = hh:mm:ss,,,,,,,,,
Flow units = ml/min,,,,,,,,,
PCB temp units = deg C,,,,,,,,,
Battery units = %,,,,,,,,,
BC units = ng/m^3,,,,,,,,,
,,,,,,,,,
Date,Time,Ref,Sen,ATN,Flow,PCB temp,Status,Battery,BC
,,,,,,,,,
5/19/15,16:28:00,809993,885590,-8.923,149,26,0,79,
5/19/15,16:28:30,809866,885421,-8.919,149,27,0,79,260
5/19/15,16:29:00,809769,885340,-8.922,149,27,0,79,-216
5/19/15,16:29:30,809697,885272,-8.923,149,28,0,78,-92
5/19/15,16:30:00,809463,885066,-8.929,149,28,0,78,-429
5/19/15,16:30:30,809343,885007,-8.937,149,29,0,78,-622
5/19/15,16:31:00,809134,884849,-8.945,149,29,0,78,-608
5/19/15,16:31:30,809037,884815,-8.953,149,29,0,78,-621
5/19/15,16:32:00,808853,884672,-8.96,149,30,0,78,-502
5/19/15,16:32:30,808736,884646,-8.972,149,30,0,78,-879
5/19/15,16:33:00,808526,884517,-8.983,149,30,0,78,-868
5/19/15,16:33:30,808307,884354,-8.992,149,31,0,78,-660
5/19/15,16:34:00,808227,884313,-8.997,149,31,0,78,-401
5/19/15,16:34:30,808102,884238,-9.004,149,31,0,77,-533
5/19/15,16:35:00,807840,884259,-9.039,149,31,0,77,-2653
5/19/15,16:35:30,807740,884207,-9.045,149,32,0,77,-495
5/19/15,16:36:00,807558,884089,-9.054,149,32,0,77,-701
5/19/15,16:36:30,807405,883970,-9.06,149,33,0,77,-418
5/19/15,16:37:00,807284,883867,-9.063,149,33,0,77,-254
5/19/15,16:37:30,807155,883749,-9.066,149,33,0,77,-200
5/19/15,16:38:00,807060,883654,-9.067,149,34,0,77,-78
5/19/15,16:38:30,806973,883579,-9.069,149,34,0,77,-175
5/19/15,16:39:00,806853,883459,-9.07,149,35,0,77,-98
5/19/15,16:39:30,806741,883350,-9.072,149,35,0,76,-118
5/19/15,16:40:00,806646,883241,-9.071,149,35,0,76,43
5/19/15,16:40:30,806523,883130,-9.074,149,36,0,79,-204
5/19/15,16:41:00,806424,883047,-9.077,149,36,0,79,-219
5/19/15,16:41:30,806332,882964,-9.079,149,37,0,79,-153
5/19/15,16:42:00,806139,882771,-9.081,149,37,0,79,-158
5/19/15,16:42:30,806078,882725,-9.083,149,37,0,78,-180
5/19/15,16:43:00,806011,882666,-9.085,149,38,0,78,-124
5/19/15,16:43:30,805927,882585,-9.086,149,38,0,78,-95
5/19/15,16:44:00,805841,882486,-9.086,149,39,0,78,42
5/19/15,16:44:30,805724,882241,-9.072,149,39,0,78,1010
5/19/15,16:45:00,805627,882079,-9.066,149,39,0,78,482
5/19/15,16:45:30,805465,881924,-9.069,149,40,0,78,-193
5/19/15,16:46:00,805399,881855,-9.069,149,40,0,78,-28
5/19/15,16:46:30,805302,881775,-9.072,149,40,0,78,-227
5/19/15,16:47:00,805234,881701,-9.072,149,40,0,78,-4
5/19/15,16:47:30,805114,881559,-9.071,149,40,0,77,92
5/19/15,16:48:00,805043,881432,-9.065,149,40,0,77,426
5/19/15,16:48:30,804967,881259,-9.055,149,41,0,77,777
5/19/15,16:49:00,804886,881153,-9.053,149,41,0,77,150
5/19/15,16:49:30,804841,881070,-9.049,149,41,0,77,292
5/19/15,16:50:00,804746,880943,-9.047,149,41,0,77,199
5/19/15,16:50:30,804690,880820,-9.04,149,41,0,77,534
5/19/15,16:51:00,804604,880649,-9.031,149,41,0,77,665
5/19/15,16:51:30,804541,880550,-9.027,149,41,0,77,260
5/19/15,16:52:00,804484,880472,-9.026,149,41,0,76,135
5/19/15,16:52:30,804500,880458,-9.022,149,41,0,76,273
5/19/15,16:53:00,804402,880318,-9.018,149,41,0,79,284
5/19/15,16:53:30,804352,880246,-9.016,149,41,0,79,150
5/19/15,16:54:00,804304,880190,-9.016,149,42,0,79,30
5/19/15,16:54:30,804242,880082,-9.011,149,42,0,79,348
5/19/15,16:55:00,804151,879977,-9.011,149,42,0,78,47
5/19/15,16:55:30,804077,879887,-9.01,149,42,0,78,78
5/19/15,16:56:00,804026,879823,-9.009,149,42,0,78,71
5/19/15,16:56:30,803920,879686,-9.007,149,42,0,78,182
5/19/15,16:57:00,803900,879637,-9.003,149,43,0,78,235
