"Delimiter = ,",,,,,,,,,,,,
AethLabs,,,,,,,,,Montana Bar,,,
Device ID = AE51-S5-803-1309,,,,,,,,,Pair 1 sampling - outside,,,
Application version = 2.2.3.0,,,,,,,,,6:53pm start,,,"Crowded nice day, periodic smokers"
Flow = 149 ml/min,,,,,,,,,7:25pm stop,,,
Timebase = 30 s,,,,,,,,,,,,
Start date = 2015/05/15,,,,,,,,,,,,
Start time = 18:54:00,,,,,,,,,,,,
Original date format = yyyy/MM/dd,,,,,,,,,,,,
Original time format = hh:mm:ss,,,,,,,,,,,,
Flow units = ml/min,,,,,,,,,,,,
PCB temp units = deg C,,,,,,,,,,,,
Battery units = %,,,,,,,,,,,,
BC units = ng/m^3,,,,,,,,,,,,
,,,,,,,,,,,,
Date,Time,Ref,Sen,ATN,Flow,PCB temp,Status,Battery,BC,,,
,,,,,,,,,,,,
5/15/15,18:54:00,814669,915670,-11.687,149,24,0,100,,,,
5/15/15,18:54:30,814643,915571,-11.68,149,24,0,100,581,,,
5/15/15,18:55:00,814682,915504,-11.668,149,24,0,100,923,,,
5/15/15,18:55:30,814686,915432,-11.659,149,24,0,100,637,,,
5/15/15,18:56:00,814755,915430,-11.651,149,24,0,100,662,,,
5/15/15,18:56:30,814717,915314,-11.643,149,24,0,100,611,,,
5/15/15,18:57:00,814750,915261,-11.633,149,24,0,100,750,,,
5/15/15,18:57:30,814769,915202,-11.624,149,24,0,100,669,,,
5/15/15,18:58:00,814799,915149,-11.615,149,23,0,100,722,,,
5/15/15,18:58:30,814802,915072,-11.606,149,23,0,100,670,,,
5/15/15,18:59:00,814830,915022,-11.597,149,23,0,100,679,,,
5/15/15,18:59:30,814859,914982,-11.589,149,23,0,100,605,,,
5/15/15,19:00:00,814877,914915,-11.579,149,23,0,100,727,,,
5/15/15,19:00:30,814913,914877,-11.571,149,23,0,100,653,,,
5/15/15,19:01:00,814907,914792,-11.562,149,23,0,100,652,,,
5/15/15,19:01:30,814957,914760,-11.553,149,23,0,100,734,,,
5/15/15,19:02:00,814989,914707,-11.543,149,23,0,100,741,,,
5/15/15,19:02:30,814942,914560,-11.533,149,23,0,100,786,,,
5/15/15,19:03:00,815006,914551,-11.524,149,23,0,100,674,,,
5/15/15,19:03:30,815046,914523,-11.516,149,23,0,100,608,,,
5/15/15,19:04:00,815042,914444,-11.508,149,23,0,100,621,,,
5/15/15,19:04:30,815048,914368,-11.499,149,23,0,100,690,,,
5/15/15,19:05:00,815094,914338,-11.49,149,23,0,100,680,,,
5/15/15,19:05:30,815092,914260,-11.481,149,23,0,100,632,,,
5/15/15,19:06:00,815178,914274,-11.472,149,23,0,100,688,,,
5/15/15,19:06:30,815136,914169,-11.466,149,23,0,100,483,,,
5/15/15,19:07:00,815159,914138,-11.46,149,23,0,100,474,,,
5/15/15,19:07:30,815153,914071,-11.453,149,23,0,100,503,,,
5/15/15,19:08:00,815200,914070,-11.447,149,23,0,100,448,,,
5/15/15,19:08:30,815212,914007,-11.439,149,23,0,100,638,,,
5/15/15,19:09:00,815247,913982,-11.432,149,23,0,100,536,,,
5/15/15,19:09:30,815244,913895,-11.423,149,23,0,100,698,,,
5/15/15,19:10:00,815253,913833,-11.415,149,23,0,100,601,,,
5/15/15,19:10:30,815276,913803,-11.409,149,23,0,100,465,,,
5/15/15,19:11:00,815274,913728,-11.401,149,23,0,100,607,,,
5/15/15,19:11:30,815259,913627,-11.392,149,23,0,100,703,,,
5/15/15,19:12:00,815326,913608,-11.381,149,23,0,100,785,,,
5/15/15,19:12:30,815312,913504,-11.372,149,23,0,100,737,,,
5/15/15,19:13:00,815352,913465,-11.363,148,23,0,100,704,,,
5/15/15,19:13:30,815337,913355,-11.352,149,23,0,100,778,,,
5/15/15,19:14:00,815348,913271,-11.342,149,23,0,100,804,,,
5/15/15,19:14:30,815347,913193,-11.333,149,23,0,100,642,,,
5/15/15,19:15:00,815386,913137,-11.322,149,23,0,100,832,,,
5/15/15,19:15:30,815395,913062,-11.313,149,23,0,100,710,,,
5/15/15,19:16:00,815413,912971,-11.301,149,23,0,100,928,,,
5/15/15,19:16:30,815403,912871,-11.291,149,23,0,100,742,,,
5/15/15,19:17:00,815406,912790,-11.282,149,23,0,100,705,,,
5/15/15,19:17:30,815360,912659,-11.273,149,23,0,100,664,,,
5/15/15,19:18:00,815418,912616,-11.261,148,23,0,100,908,,,
5/15/15,19:18:30,815419,912530,-11.252,149,23,0,100,728,,,
5/15/15,19:19:00,815442,912482,-11.244,149,23,0,100,616,,,
5/15/15,19:19:30,815420,912373,-11.235,149,23,0,100,705,,,
5/15/15,19:20:00,815440,912305,-11.225,149,23,0,100,755,,,
5/15/15,19:20:30,815440,912237,-11.217,149,23,0,100,568,,,
5/15/15,19:21:00,815492,912228,-11.21,149,23,0,100,561,,,
5/15/15,19:21:30,815520,912182,-11.201,149,23,0,100,646,,,
5/15/15,19:22:00,815530,912115,-11.193,148,23,0,100,658,,,
5/15/15,19:22:30,815523,912019,-11.183,149,23,0,100,737,,,
5/15/15,19:23:00,815527,911916,-11.171,149,23,0,100,898,,,
5/15/15,19:23:30,815547,911850,-11.162,149,23,0,100,739,,,
5/15/15,19:24:00,815516,911724,-11.152,149,23,0,100,764,,,
5/15/15,19:24:30,815557,911697,-11.144,149,23,0,100,609,,,
5/15/15,19:25:00,815558,911614,-11.134,149,23,0,100,703,,,
5/15/15,19:25:30,815583,911550,-11.124,149,23,0,100,769,,,
5/15/15,19:26:00,815584,911483,-11.117,149,23,0,100,570,,,
5/15/15,19:26:30,815592,911425,-11.11,149,23,0,100,560,,,
5/15/15,19:27:00,815534,911297,-11.103,149,23,0,100,529,,,
