"Delimiter = ,",,,,,,,,,,,,,
AethLabs,,,,,,,,,,,Montana Bar - Pair 1 sampling,,
Device ID = AE51-S5-803-1309,,,,,,,,,,,Inside,,
Application version = 2.2.3.0,,,,,,,,,,,7:29pm start,,
Flow = 149 ml/min,,,,,,,,,,,7:59 pm stop,,"loudish music, not too packed inside"
Timebase = 30 s,,,,,,,,,,,droped at 7:48,,
Start date = 2015/05/15,,,,,,,,,,,,,
Start time = 19:30:00,,,,,,,,,,,,,
Original date format = yyyy/MM/dd,,,,,,,,,,,,,
Original time format = hh:mm:ss,,,,,,,,,,,,,
Flow units = ml/min,,,,,,,,,,,,,
PCB temp units = deg C,,,,,,,,,,,,,
Battery units = %,,,,,,,,,,,,,
BC units = ng/m^3,,,,,,,,,,,,,
,,,,,,,,,,,,,
Date,Time,Ref,Sen,ATN,Flow,PCB temp,Status,Battery,BC,,,,
,,,,,,,,,,,,,
5/15/15,19:30:00,815512,911186,-11.093,149,22,0,100,,,,,
5/15/15,19:30:30,815487,911072,-11.084,149,22,0,100,720,,,,
5/15/15,19:31:00,815516,911063,-11.079,149,22,0,100,346,,,,
5/15/15,19:31:30,815484,910999,-11.076,149,23,0,100,236,,,,
5/15/15,19:32:00,815464,910915,-11.069,149,23,0,100,516,,,,
5/15/15,19:32:30,815447,910831,-11.062,149,23,0,100,544,,,,
5/15/15,19:33:00,815379,910696,-11.056,149,23,0,100,494,,,,
5/15/15,19:33:30,815287,910523,-11.048,149,23,0,100,588,,,,
5/15/15,19:34:00,815287,910512,-11.047,149,23,0,100,92,,,,
5/15/15,19:34:30,815302,910484,-11.042,149,23,0,100,375,,,,
5/15/15,19:35:00,815264,910402,-11.037,149,23,0,100,331,,,,
5/15/15,19:35:30,815249,910365,-11.035,149,23,0,100,170,,,,
5/15/15,19:36:00,815188,910275,-11.033,149,23,0,100,183,,,,
5/15/15,19:36:30,815172,910241,-11.031,149,23,0,100,135,,,,
5/15/15,19:37:00,815075,910023,-11.019,149,23,0,100,919,,,,
5/15/15,19:37:30,815055,910001,-11.019,149,24,0,100,-3,,,,
5/15/15,19:38:00,814988,909908,-11.017,149,24,0,100,152,,,,
5/15/15,19:38:30,814945,909818,-11.012,149,24,0,100,352,,,,
5/15/15,19:39:00,814855,909684,-11.009,149,24,0,100,281,,,,
5/15/15,19:39:30,814881,909700,-11.007,149,24,0,100,109,,,,
5/15/15,19:40:00,814868,909588,-10.997,149,24,0,100,817,,,,
5/15/15,19:40:30,814809,909466,-10.99,149,24,0,100,471,,,,
5/15/15,19:41:00,814802,909482,-10.993,149,24,0,100,-200,,,,
5/15/15,19:41:30,814774,909440,-10.992,149,24,0,100,90,,,,
5/15/15,19:42:00,814633,909158,-10.978,149,24,0,100,1045,,,,
5/15/15,19:42:30,814601,909157,-10.982,149,24,0,100,-291,,,,
5/15/15,19:43:00,814558,909075,-10.978,149,24,0,100,285,,,,
5/15/15,19:43:30,814586,909086,-10.976,149,24,0,100,170,,,,
5/15/15,19:44:00,814452,908908,-10.973,149,24,0,100,239,,,,
5/15/15,19:44:30,814488,908938,-10.972,149,25,0,100,85,,,,
5/15/15,19:45:00,814427,908834,-10.968,149,25,0,100,301,,,,
5/15/15,19:45:30,814365,908724,-10.963,149,25,0,100,342,,,,
5/15/15,19:46:00,814396,908752,-10.963,149,25,0,100,55,,,,
5/15/15,19:46:30,814388,908705,-10.958,149,25,0,100,319,,,,
5/15/15,19:47:00,814367,908700,-10.96,149,25,0,100,-155,,,,
5/15/15,19:47:30,814348,908626,-10.955,149,25,0,100,443,,,,
5/15/15,19:48:00,814307,908541,-10.95,149,25,0,100,329,,,,
5/15/15,19:49:00,792809,866427,-8.88,149,25,0,100,41,,,,
5/15/15,19:49:30,792701,866208,-8.868,149,25,0,100,889,,,,
5/15/15,19:50:00,792703,866267,-8.874,149,25,0,100,-500,,,,
5/15/15,19:50:30,792663,866195,-8.871,149,25,0,100,249,,,,
5/15/15,19:51:00,792538,866042,-8.869,149,26,0,100,144,,,,
5/15/15,19:51:30,792564,866045,-8.866,148,26,0,100,225,,,,
5/15/15,19:52:00,792413,865745,-8.851,149,26,0,100,1189,,,,
5/15/15,19:52:30,792407,865561,-8.83,149,26,0,100,1563,,,,
5/15/15,19:53:00,792685,865762,-8.818,149,26,0,100,904,,,,
5/15/15,19:53:30,792663,865794,-8.825,149,26,0,100,-493,,,,
5/15/15,19:54:00,792598,865680,-8.82,149,26,0,100,379,,,,
5/15/15,19:54:30,792523,865522,-8.811,149,27,0,100,670,,,,
5/15/15,19:55:00,792476,865456,-8.809,149,27,0,100,129,,,,
5/15/15,19:55:30,792393,865305,-8.802,149,27,0,100,532,,,,
5/15/15,19:56:00,792372,865222,-8.796,149,27,0,100,529,,,,
5/15/15,19:56:30,792331,865111,-8.788,149,27,0,100,584,,,,
5/15/15,19:57:00,792321,865050,-8.782,149,27,0,100,441,,,,
5/15/15,19:57:30,792293,864964,-8.776,149,27,0,100,489,,,,
5/15/15,19:58:00,792198,864738,-8.762,149,27,0,100,1078,,,,
5/15/15,19:58:30,792204,864701,-8.756,149,27,0,100,384,,,,
5/15/15,19:59:00,792126,864539,-8.748,149,27,0,100,678,,,,
