"Delimiter = ,",,,,,,,,,
AethLabs,,,,,,,,,
Device ID = AE51-S5-803-1309,,,,,,,,,Montana Bar
Application version = 2.2.3.0,,,,,,,,,Pair 2 sampling - inside
Flow = 149 ml/min,,,,,,,,,8:23pm start
Timebase = 30 s,,,,,,,,,8:52 pm stop
Start date = 2015/05/15,,,,,,,,,
Start time = 20:24:00,,,,,,,,,
Original date format = yyyy/MM/dd,,,,,,,,,
Original time format = hh:mm:ss,,,,,,,,,
Flow units = ml/min,,,,,,,,,
PCB temp units = deg C,,,,,,,,,
Battery units = %,,,,,,,,,
BC units = ng/m^3,,,,,,,,,
,,,,,,,,,
Date,Time,Ref,Sen,ATN,Flow,PCB temp,Status,Battery,BC
,,,,,,,,,
5/15/15,20:24:00,792193,867089,-9.034,149,25,0,100,
5/15/15,20:24:30,792145,867019,-9.032,149,25,0,100,154
5/15/15,20:25:00,792117,866940,-9.026,149,26,0,100,425
5/15/15,20:25:30,792181,866836,-9.006,149,26,0,100,1531
5/15/15,20:26:00,792215,866821,-9,149,26,0,100,459
5/15/15,20:26:30,792260,866845,-8.997,149,26,0,100,222
5/15/15,20:27:00,792239,866800,-8.995,149,26,0,100,194
5/15/15,20:27:30,792177,866633,-8.983,149,26,0,100,872
5/15/15,20:28:00,792074,866458,-8.976,149,26,0,100,548
5/15/15,20:28:30,792071,866419,-8.972,149,26,0,100,314
5/15/15,20:29:00,792075,866369,-8.965,149,26,0,100,478
5/15/15,20:29:30,792122,866356,-8.958,149,26,0,100,567
5/15/15,20:30:00,792055,866182,-8.946,149,26,0,100,886
5/15/15,20:30:30,792015,866036,-8.935,149,26,0,100,900
5/15/15,20:31:00,792034,866057,-8.935,149,26,0,100,-2
5/15/15,20:31:30,792024,865995,-8.929,149,27,0,100,450
5/15/15,20:32:00,792031,865959,-8.924,149,27,0,100,384
5/15/15,20:32:30,791980,865835,-8.916,149,27,0,100,601
5/15/15,20:33:00,791986,865784,-8.909,149,27,0,100,507
5/15/15,20:33:30,791964,865699,-8.902,149,27,0,100,537
5/15/15,20:34:00,791964,865640,-8.895,149,27,0,100,520
5/15/15,20:34:30,791984,865617,-8.89,149,27,0,100,395
5/15/15,20:35:00,791928,865453,-8.878,148,27,0,100,912
5/15/15,20:35:30,791972,865399,-8.866,149,27,0,100,899
5/15/15,20:36:00,791966,865332,-8.859,149,27,0,100,533
5/15/15,20:36:30,791964,865312,-8.857,149,27,0,100,157
5/15/15,20:37:00,791961,865238,-8.849,148,27,0,100,627
5/15/15,20:37:30,791961,865156,-8.84,149,27,0,100,723
5/15/15,20:38:00,791981,865123,-8.833,149,27,0,100,483
5/15/15,20:38:30,791965,865010,-8.822,149,27,0,100,842
5/15/15,20:39:00,791987,864989,-8.817,149,27,0,100,397
5/15/15,20:39:30,791938,864884,-8.811,149,27,0,100,454
5/15/15,20:40:00,791971,864827,-8.8,149,27,0,100,820
5/15/15,20:40:30,791977,864763,-8.792,149,27,0,100,622
5/15/15,20:41:00,792014,864745,-8.786,149,27,0,100,515
5/15/15,20:41:30,791950,864632,-8.781,149,27,0,100,380
5/15/15,20:42:00,791955,864570,-8.773,149,27,0,100,595
5/15/15,20:42:30,791978,864569,-8.77,149,27,0,100,230
5/15/15,20:43:00,791942,864497,-8.766,149,27,0,100,288
5/15/15,20:43:30,791929,864410,-8.758,149,27,0,100,642
5/15/15,20:44:00,791979,864463,-8.757,149,27,0,100,14
5/15/15,20:44:30,791997,864427,-8.751,149,27,0,100,491
5/15/15,20:45:00,792021,864424,-8.748,149,27,0,100,257
5/15/15,20:45:30,792013,864365,-8.742,149,27,0,100,443
5/15/15,20:46:00,792009,864294,-8.734,149,27,0,100,588
5/15/15,20:46:30,791961,864172,-8.726,149,27,0,100,614
5/15/15,20:47:00,791994,864180,-8.723,149,27,0,100,247
5/15/15,20:47:30,792008,864140,-8.716,149,27,0,100,488
5/15/15,20:48:00,791960,864016,-8.708,148,27,0,100,636
5/15/15,20:48:30,791972,863997,-8.704,149,27,0,100,283
5/15/15,20:49:00,791974,863961,-8.7,149,27,0,100,337
5/15/15,20:49:30,791970,863925,-8.696,149,27,0,100,279
5/15/15,20:50:00,791920,863822,-8.691,149,27,0,100,428
5/15/15,20:50:30,791990,863864,-8.687,149,27,0,100,303
5/15/15,20:51:00,791997,863841,-8.683,149,27,0,100,270
5/15/15,20:51:30,791999,863805,-8.679,149,27,0,100,337
