"Delimiter = ,",,,,,,,,,,,,
AethLabs,,,,,,,,,,,,
Device ID = AE51-S5-803-1309,,,,,,,,,Montana Bar,,,
Application version = 2.2.3.0,,,,,,,,,Pair 2 sampling - outside,,,Less crowded in the parklet
Flow = 149 ml/min,,,,,,,,,8:54pm start,,,
Timebase = 30 s,,,,,,,,,9:25pm stop,,,
Start date = 2015/05/15,,,,,,,,,,,,
Start time = 20:55:00,,,,,,,,,,,,
Original date format = yyyy/MM/dd,,,,,,,,,,,,
Original time format = hh:mm:ss,,,,,,,,,,,,
Flow units = ml/min,,,,,,,,,,,,
PCB temp units = deg C,,,,,,,,,,,,
Battery units = %,,,,,,,,,,,,
BC units = ng/m^3,,,,,,,,,,,,
,,,,,,,,,,,,
Date,Time,Ref,Sen,ATN,Flow,PCB temp,Status,Battery,BC,,,
,,,,,,,,,,,,
5/15/15,20:55:00,792024,863675,-8.66,149,26,0,100,,,,
5/15/15,20:55:30,792112,863690,-8.651,149,26,0,100,715,,,
5/15/15,20:56:00,792175,863670,-8.641,149,26,0,100,783,,,
5/15/15,20:56:30,792253,863664,-8.63,149,26,0,100,804,,,
5/15/15,20:57:00,792295,863593,-8.617,149,25,0,100,1031,,,
5/15/15,20:57:30,792394,863569,-8.602,149,25,0,100,1164,,,
5/15/15,20:58:00,792510,863575,-8.588,149,25,0,100,1063,,,
5/15/15,20:58:30,792586,863547,-8.575,149,25,0,100,978,,,
5/15/15,20:59:00,792699,863549,-8.561,149,24,0,100,1069,,,
5/15/15,20:59:30,792749,863483,-8.547,149,24,0,100,1064,,,
5/15/15,21:00:00,792881,863519,-8.534,149,24,0,100,952,,,
5/15/15,21:00:30,792938,863477,-8.522,149,24,0,100,919,,,
5/15/15,21:01:00,793008,863446,-8.51,149,24,0,100,947,,,
5/15/15,21:01:30,793137,863466,-8.496,149,24,0,100,1064,,,
5/15/15,21:02:00,793217,863437,-8.482,149,23,0,100,1025,,,
5/15/15,21:02:30,793291,863409,-8.47,149,23,0,100,958,,,
5/15/15,21:03:00,793383,863398,-8.457,149,23,0,100,981,,,
5/15/15,21:03:30,793461,863358,-8.443,149,23,0,100,1103,,,
5/15/15,21:04:00,793558,863338,-8.428,149,23,0,100,1109,,,
5/15/15,21:04:30,793627,863311,-8.416,149,23,0,100,901,,,
5/15/15,21:05:00,793687,863284,-8.405,149,23,0,100,815,,,
5/15/15,21:05:30,793711,863210,-8.394,149,23,0,100,884,,,
5/15/15,21:06:00,793784,863203,-8.384,149,23,0,100,763,,,
5/15/15,21:06:30,793840,863160,-8.372,149,22,0,100,918,,,
5/15/15,21:07:00,793867,863091,-8.36,149,22,0,100,869,,,
5/15/15,21:07:30,793959,863096,-8.349,148,22,0,100,845,,,
5/15/15,21:08:00,793971,863029,-8.34,149,22,0,100,707,,,
5/15/15,21:08:30,794067,863054,-8.331,149,22,0,100,701,,,
5/15/15,21:09:00,794140,863042,-8.32,149,22,0,100,807,,,
5/15/15,21:09:30,794207,863020,-8.309,149,22,0,100,838,,,
5/15/15,21:10:00,794194,862900,-8.297,149,22,0,100,935,,,
5/15/15,21:10:30,794295,862863,-8.28,149,22,0,100,1296,,,
5/15/15,21:11:00,794329,862773,-8.265,149,22,0,100,1122,,,
5/15/15,21:11:30,794375,862716,-8.253,149,22,0,100,945,,,
5/15/15,21:12:00,794422,862681,-8.243,149,22,0,100,760,,,
5/15/15,21:12:30,794480,862621,-8.229,148,21,0,100,1094,,,
5/15/15,21:13:00,794464,862466,-8.213,150,21,0,100,1208,,,
5/15/15,21:13:30,794533,862420,-8.199,149,21,0,100,1069,,,
5/15/15,21:14:00,794628,862409,-8.186,149,21,0,100,1009,,,
5/15/15,21:14:30,794711,862390,-8.173,149,21,0,100,964,,,
5/15/15,21:15:00,794751,862303,-8.158,149,21,0,100,1153,,,
5/15/15,21:15:30,794725,862201,-8.149,149,21,0,100,652,,,
5/15/15,21:16:00,794733,862119,-8.139,149,21,0,100,802,,,
5/15/15,21:16:30,794808,862132,-8.131,149,21,0,100,605,,,
5/15/15,21:17:00,794868,862108,-8.12,149,21,0,100,788,,,
5/15/15,21:17:30,794854,862015,-8.111,149,21,0,100,688,,,
5/15/15,21:18:00,794957,862054,-8.103,149,21,0,100,643,,,
5/15/15,21:18:30,794940,861961,-8.094,149,21,0,100,660,,,
5/15/15,21:19:00,795012,861972,-8.087,149,21,0,100,593,,,
5/15/15,21:19:30,795030,861918,-8.078,149,21,0,99,650,,,
5/15/15,21:20:00,795003,861815,-8.069,149,21,0,99,652,,,
5/15/15,21:20:30,795066,861827,-8.063,149,21,0,99,498,,,
5/15/15,21:21:00,795100,861797,-8.055,149,21,0,99,591,,,
5/15/15,21:21:30,795152,861792,-8.048,149,21,0,99,543,,,
5/15/15,21:22:00,795150,861719,-8.04,149,21,0,99,627,,,
5/15/15,21:22:30,795178,861678,-8.032,149,21,0,99,631,,,
5/15/15,21:23:00,795178,861606,-8.023,148,20,0,99,641,,,
5/15/15,21:23:30,795200,861559,-8.015,148,20,0,99,631,,,
5/15/15,21:24:00,795265,861562,-8.007,149,20,0,98,597,,,
