"Delimiter = ,",,,,,,,,,
AethLabs,,,,,,,,,Montana Sampling
Device ID = AE51-S5-803-1309,,,,,,,,,Pair 4 - outside
Application version = 2.2.4.0,,,,,,,,,7:55pm start
Flow = 149 ml/min,,,,,,,,,8:25pm stop
Timebase = 30 s,,,,,,,,,
Start date = 2015/05/19,,,,,,,,,
Start time = 19:56:00,,,,,,,,,
Original date format = yyyy/MM/dd,,,,,,,,,
Original time format = hh:mm:ss,,,,,,,,,
Flow units = ml/min,,,,,,,,,
PCB temp units = deg C,,,,,,,,,
Battery units = %,,,,,,,,,
BC units = ng/m^3,,,,,,,,,
,,,,,,,,,
Date,Time,Ref,Sen,ATN,Flow,PCB temp,Status,Battery,BC
,,,,,,,,,
5/19/15,19:56:00,809001,868734,-7.124,148,27,0,67,
5/19/15,19:56:30,809016,868655,-7.113,149,27,0,67,835
5/19/15,19:57:00,808996,868535,-7.101,149,27,0,66,865
5/19/15,19:57:30,809054,868505,-7.091,149,27,0,66,810
5/19/15,19:58:00,809050,868383,-7.077,149,26,0,66,1033
5/19/15,19:58:30,809077,868321,-7.067,149,26,0,66,799
5/19/15,19:59:00,809126,868280,-7.056,149,26,0,66,822
5/19/15,19:59:30,809131,868191,-7.045,149,26,0,69,829
5/19/15,20:00:00,809183,868161,-7.035,149,26,0,68,753
5/19/15,20:00:30,809110,867993,-7.025,149,26,0,68,788
5/19/15,20:01:00,809223,868006,-7.012,149,26,0,68,951
5/19/15,20:01:30,809269,867962,-7.002,149,26,0,68,820
5/19/15,20:02:00,809298,867890,-6.99,149,26,0,68,906
5/19/15,20:02:30,809250,867738,-6.978,149,26,0,68,883
5/19/15,20:03:00,809349,867739,-6.966,149,26,0,68,924
5/19/15,20:03:30,809389,867684,-6.955,148,26,0,68,866
5/19/15,20:04:00,809391,867591,-6.944,149,26,0,68,836
5/19/15,20:04:30,809416,867517,-6.932,149,26,0,68,886
5/19/15,20:05:00,809460,867469,-6.921,149,26,0,67,836
5/19/15,20:05:30,809505,867423,-6.91,149,26,0,67,828
5/19/15,20:06:00,809509,867342,-6.901,149,26,0,67,750
5/19/15,20:06:30,809487,867238,-6.891,149,26,0,67,707
5/19/15,20:07:00,809505,867177,-6.882,149,26,0,67,706
5/19/15,20:07:30,809483,867073,-6.873,149,26,0,67,707
5/19/15,20:08:00,809555,867071,-6.864,149,26,0,67,696
5/19/15,20:08:30,809636,867085,-6.855,149,25,0,67,640
5/19/15,20:09:00,809628,866987,-6.845,149,25,0,67,786
5/19/15,20:09:30,809665,866910,-6.831,149,25,0,67,1026
5/19/15,20:10:00,809683,866848,-6.822,149,25,0,66,715
5/19/15,20:10:30,809701,866770,-6.811,149,25,0,66,856
5/19/15,20:11:00,809717,866686,-6.799,149,25,0,66,890
5/19/15,20:11:30,809702,866557,-6.786,149,25,0,66,994
5/19/15,20:12:00,809734,866494,-6.775,149,25,0,66,856
5/19/15,20:12:30,809780,866358,-6.754,149,25,0,63,1630
5/19/15,20:13:00,809844,866242,-6.732,149,25,0,63,1623
5/19/15,20:13:30,809820,866082,-6.717,149,25,0,63,1182
5/19/15,20:14:00,809861,866003,-6.703,148,25,0,63,1089
5/19/15,20:14:30,809766,865742,-6.684,149,25,0,63,1404
5/19/15,20:15:00,809833,865676,-6.668,149,25,0,63,1212
5/19/15,20:15:30,809873,865586,-6.653,149,25,0,63,1169
5/19/15,20:16:00,809868,865470,-6.64,149,25,0,63,975
5/19/15,20:16:30,809878,865413,-6.632,149,25,0,63,596
5/19/15,20:17:00,809909,865386,-6.625,149,25,0,63,530
5/19/15,20:17:30,809910,865290,-6.614,148,25,0,62,861
5/19/15,20:18:00,809954,865265,-6.606,149,25,0,62,634
5/19/15,20:18:30,809936,865168,-6.597,149,25,0,62,685
5/19/15,20:19:00,809902,865067,-6.589,150,25,0,62,566
5/19/15,20:19:30,809909,865010,-6.582,149,25,0,62,568
5/19/15,20:20:00,809929,864961,-6.574,148,25,0,62,624
5/19/15,20:20:30,809947,864915,-6.566,149,25,0,62,575
5/19/15,20:21:00,809988,864877,-6.557,149,25,0,62,721
5/19/15,20:21:30,810043,864853,-6.547,149,25,0,62,729
5/19/15,20:22:00,810012,864733,-6.537,149,25,0,62,766
5/19/15,20:22:30,810059,864698,-6.527,149,25,0,61,751
5/19/15,20:23:00,810031,864591,-6.518,149,25,0,61,680
5/19/15,20:23:30,810049,864527,-6.509,149,25,0,61,734
5/19/15,20:24:00,810008,864396,-6.499,149,25,0,61,769
5/19/15,20:24:30,810050,864367,-6.49,149,25,0,61,651
5/19/15,20:25:00,810074,864290,-6.478,149,25,0,61,905
