Sep = ,
"Delimiter = ,"
AethLabs
Device ID = AE51-S5-802-1309
Application version = 2.2.4.0
Flow = 149 ml/min
Timebase = 30 s
Start date = 2015/05/23
Start time = 15:00:00
Original date format = yyyy/MM/dd
Original time format = hh:mm:ss
Flow units = ml/min
PCB temp units = deg C
Battery units = %
BC units = ng/m^3

Date,Time,Ref,Sen,ATN,Flow,PCB temp,Status,Battery,BC

2015/05/23,15:00:00,906643,917842,"-1.228",149,26,0,100,
2015/05/23,15:00:30,906526,917715,"-1.227",149,26,0,100,71
2015/05/23,15:01:00,906485,917689,"-1.228",149,26,0,100,-129
2015/05/23,15:01:30,906478,917672,"-1.227",149,26,0,100,82
2015/05/23,15:02:00,906454,917641,"-1.227",149,26,0,100,56
2015/05/23,15:02:30,906475,917661,"-1.226",149,26,0,100,10
2015/05/23,15:03:00,906327,917507,"-1.226",149,26,0,100,35
2015/05/23,15:03:30,906258,917433,"-1.226",149,26,0,100,34
2015/05/23,15:04:00,906333,917489,"-1.223",148,26,0,100,167
2015/05/23,15:04:30,906288,917439,"-1.223",149,26,0,100,37
2015/05/23,15:05:00,906231,917373,"-1.222",150,26,0,100,69
2015/05/23,15:05:30,906109,917234,"-1.220",150,26,0,100,128
2015/05/23,15:06:00,906058,917172,"-1.219",148,26,0,100,87
2015/05/23,15:06:30,906148,917258,"-1.219",147,26,0,100,43
2015/05/23,15:07:00,906090,917175,"-1.216",150,26,0,100,201
2015/05/23,15:07:30,906109,917185,"-1.215",148,26,0,100,77
2015/05/23,15:08:00,906181,917244,"-1.213",148,26,0,100,116
2015/05/23,15:08:30,906129,917183,"-1.213",149,26,0,100,70
2015/05/23,15:09:00,906163,917189,"-1.209",150,26,0,100,235
2015/05/23,15:09:30,906134,917104,"-1.203",149,26,0,100,463
2015/05/23,15:10:00,906038,916988,"-1.201",149,26,0,100,157
2015/05/23,15:10:30,906035,916964,"-1.199",149,26,0,100,174
2015/05/23,15:11:00,906112,917009,"-1.195",149,26,0,100,274
2015/05/23,15:11:30,906074,916943,"-1.192",150,26,0,100,227
2015/05/23,15:12:00,906109,916941,"-1.188",150,26,0,100,309
2015/05/23,15:12:30,906091,916890,"-1.185",149,26,0,100,273
2015/05/23,15:13:00,906054,916822,"-1.181",149,26,0,100,254
2015/05/23,15:13:30,905978,916721,"-1.179",149,26,0,100,200
2015/05/23,15:14:00,905992,916691,"-1.174",148,26,0,100,370
2015/05/23,15:14:30,905989,916641,"-1.169",150,26,0,100,388
2015/05/23,15:15:00,905980,916597,"-1.165",150,26,0,100,288
2015/05/23,15:15:30,905977,916567,"-1.162",150,26,0,100,223
2015/05/23,15:16:00,906007,916569,"-1.159",149,26,0,100,236
